,NAME,RA,DEC,Class,SC_EP_8_FLUX,SC_EP_5_FLUX,SC_EP_4_FLUX,SC_EP_3_FLUX,SC_EP_2_FLUX,SC_FVAR,SC_DET_ML,G,BP,RP,J,H,K,W1,W2,W3
4756,CT 252,14.41708333333333,-28.386111111111106,AGN,5.7229375e-14,2.910968e-15,1.3826713000000001e-14,1.6176254e-14,8.201861e-15,,232.1016,19.619928,19.677753,18.960524,,,,15.039000000000001,14.339,11.509
4757,SDSS J00578+0022,14.450416666666666,0.3794444444444444,AGN,9.836177000000001e-14,4.1370814e-14,2.2314947e-14,1.5127653e-14,1.0227053e-14,0.2886026,287.7501,20.286219,20.393389000000003,19.577177,,,,16.082,15.034,11.717
4758,SDSS J00580+0021,14.503749999999998,0.3663888888888888,AGN,2.2920102e-14,1.1359942e-15,5.3551477e-15,6.942944e-15,5.0252842999999995e-15,,57.74084000000001,,,,,,,16.938,16.072,12.229000000000001
4759,Q 0055-2806,14.524166666666664,-27.83472222222222,AGN,9.838432e-14,5.9678994e-14,8.924814999999997e-15,1.0199741000000001e-14,8.6124845e-15,,52.70134,20.61121,20.245476,19.405251999999997,,,,15.543,14.96,11.811
4760,Q 0055-2824,14.544999999999998,-28.138055555555553,AGN,3.584832e-14,1.737807e-14,7.522192e-16,2.0744008e-15,4.50697e-15,,20.68662,20.47764,20.559278,20.158169,,,,17.93,16.073,12.687999999999999
4761,SDSS J00582+0014,14.557083333333333,0.2358333333333333,AGN,2.0499926999999998e-14,5.087002000000001e-15,6.6478716e-15,2.7272836999999997e-15,2.8887927e-15,,20.21856,,,,,,,15.425,14.975,11.349
4762,SDSS J00583-0001,14.581666666666665,-0.028055555555555552,AGN,7.337201e-14,1.5734458999999995e-14,2.4573073e-14,1.1850011999999999e-14,1.1221893999999997e-14,,111.5622,,,,,,,,,
4763,SGP4:07,14.753333333333332,-27.518611111111106,AGN,1.0844594999999999e-13,7.371399e-15,1.9489307e-14,1.8025254e-14,2.847613e-14,0.14403029,954.9955,20.396717000000002,20.29692,19.895498,,,,15.772,15.290999999999999,12.261
4764,SDSS J00592+0031,14.818333333333333,0.5261111111111111,AGN,1.5667067e-13,8.88846e-14,2.4987924e-14,1.3760827e-14,1.7847003e-14,,191.5548,21.207476,20.517971,19.319517,,,,15.415999999999999,14.719000000000001,12.132
4765,SDSS J00596-0017,14.905416666666666,-0.2927777777777777,AGN,1.2327796e-14,2.0677361e-16,3.4583013e-16,3.998957e-15,3.1618245e-15,,60.27011,,,,,,,16.093,15.329,12.284
4766,MARK  352,14.972083333333332,31.826944444444447,AGN,2.2173010000000002e-11,8.99278e-12,5.0001383e-12,3.3149660000000005e-12,2.9245122000000005e-12,0.06258779,471737.9,16.182272,15.840851999999998,14.838829,13.696,13.025,12.42,11.162,10.62,8.651
4767,SDSS J01001-0015,15.02875,-0.2597222222222222,AGN,6.304556e-14,4.4537954e-15,1.7675314e-14,9.671975999999999e-15,6.310629e-15,,271.6312,20.034323,19.490007000000002,18.463917000000002,,,,15.309000000000001,14.662,11.345999999999998
4768,Q J0100-3341,15.109166666666665,-33.68527777777777,AGN,4.5897385e-14,5.7021627e-15,9.644187999999999e-15,8.40001e-15,8.125529e-15,0.41362053,2127.952,20.715529999999998,20.43047,19.296039999999998,,,,15.02,14.389000000000001,10.999
4769,SDSS J01014+0000,15.355833333333333,0.007777777777777777,AGN,1.766984e-12,7.986494000000002e-13,3.6733285e-13,2.5765148e-13,2.2649648999999998e-13,0.23790324,7510.31,19.144331,18.637529999999998,17.249159,15.765999999999998,14.963,14.179,13.583,12.687000000000001,9.89
